"Id","UserId","Avatar","Author","Content","Url","ReactionsCount","Depth","SubCommentsCount","CommentAt"
"Y29tbWVudDo3NjcwNzIzMTIyOTI3NDhfMTQ1MDI2MTI1MjMwNzkzOA==","100061629625996","https://scontent.fsgn19-1.fna.fbcdn.net/v/t1.30497-1/143086968_2856368904622192_1959732218791162458_n.png?stp=cp0_dst-png_p32x32&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGeHqmZ1cTaj41jbNFmjlWAso2H55p0AlGyjYfnmnQCUemA0NxXiMvC3iwkXz-XpSXbIBdKXDfMCQxQJc9oBn2f&_nc_ohc=dLKpxagQdsAQ7kNvgE4TNCp&_nc_ht=scontent.fsgn19-1.fna&oh=00_AYDXR5Km5ntH9R-UM8B2QSibNMAzp-3ObUs3kkKV5-51Eg&oe=6697A338","Ziny Đỗ","Ác","https://www.facebook.com/KaitoKid1412.Official/posts/pfbid02UMynNFPFMXYxqGzdHkf1hBDcKSYJJBWJD6PeNyho5ofmkF5pDKrqFStgmuRVcoval?comment_id=1450261252307938","0","0","0","06/17/2024 07:51:05 PM"
"Y29tbWVudDo3NjcwNzIzMTIyOTI3NDhfOTk0MzAzMjExOTY5Nzg1","100081538214738","https://scontent.fsgn19-1.fna.fbcdn.net/v/t1.30497-1/143086968_2856368904622192_1959732218791162458_n.png?stp=cp0_dst-png_p32x32&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGeHqmZ1cTaj41jbNFmjlWAso2H55p0AlGyjYfnmnQCUemA0NxXiMvC3iwkXz-XpSXbIBdKXDfMCQxQJc9oBn2f&_nc_ohc=dLKpxagQdsAQ7kNvgE4TNCp&_nc_ht=scontent.fsgn19-1.fna&oh=00_AYDXR5Km5ntH9R-UM8B2QSibNMAzp-3ObUs3kkKV5-51Eg&oe=6697A338","Thảo Ngân","💔","https://www.facebook.com/KaitoKid1412.Official/posts/pfbid02UMynNFPFMXYxqGzdHkf1hBDcKSYJJBWJD6PeNyho5ofmkF5pDKrqFStgmuRVcoval?comment_id=994303211969785","0","0","0","06/17/2024 07:50:48 PM"
"Y29tbWVudDo3NjcwNzIzMTIyOTI3NDhfMTEyMzk1MjU2MjIwNzgzOQ==","100078762147926","https://scontent.fsgn19-1.fna.fbcdn.net/v/t39.30808-1/442438588_441433998492001_8766876027468407288_n.jpg?stp=cp6_dst-jpg_p32x32&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGXQjUUdIXK1ob7AzcytvLjRNrqh8g0zxlE2uqHyDTPGZgclfa5Gm3dBUdENLHl8_GDxA4nHL3HH_zVJKrFcHga&_nc_ohc=IsmNzvwbOEsQ7kNvgHdbD-k&_nc_ht=scontent.fsgn19-1.fna&oh=00_AYAgq1arIkfALO7XEjlGKIBBqkw1YCQusJ-LFaFZNvY74w&oe=66760251","An Nhien","trôn😃","https://www.facebook.com/KaitoKid1412.Official/posts/pfbid02UMynNFPFMXYxqGzdHkf1hBDcKSYJJBWJD6PeNyho5ofmkF5pDKrqFStgmuRVcoval?comment_id=1123952562207839","0","0","0","06/17/2024 07:48:29 PM"
"Y29tbWVudDo3NjcwNzIzMTIyOTI3NDhfMTY4NjIyNjYyNTQ0OTI4MQ==","100041124615690","https://scontent.fsgn19-1.fna.fbcdn.net/v/t1.30497-1/143086968_2856368904622192_1959732218791162458_n.png?stp=cp0_dst-png_p32x32&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGeHqmZ1cTaj41jbNFmjlWAso2H55p0AlGyjYfnmnQCUemA0NxXiMvC3iwkXz-XpSXbIBdKXDfMCQxQJc9oBn2f&_nc_ohc=dLKpxagQdsAQ7kNvgE4TNCp&_nc_ht=scontent.fsgn19-1.fna&oh=00_AYDXR5Km5ntH9R-UM8B2QSibNMAzp-3ObUs3kkKV5-51Eg&oe=6697A338","Thảo Nguyên","VB hả","https://www.facebook.com/KaitoKid1412.Official/posts/pfbid02UMynNFPFMXYxqGzdHkf1hBDcKSYJJBWJD6PeNyho5ofmkF5pDKrqFStgmuRVcoval?comment_id=1686226625449281","0","0","0","06/17/2024 07:49:53 PM"
"Y29tbWVudDo3NjcwNzIzMTIyOTI3NDhfMzM5MzE3ODE5MDk4MzYzOQ==","100047592913662","https://scontent.fsgn19-1.fna.fbcdn.net/v/t39.30808-1/448015643_974167547513000_7914506030616160175_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeF7imbjiJOTBbFU7PkVcW6iV0DX6pWDgi9XQNfqlYOCL1A-zEO6E6UDdA2GDQvdmak4PMWveGGhkw6ygm0Fl74E&_nc_ohc=hHlUpckuyNQQ7kNvgHWOAT0&_nc_ht=scontent.fsgn19-1.fna&oh=00_AYDq1jwhqIz6lDPwj5wDqKuHL28mq-acs_8IDOEByqIfPA&oe=6675FCA5","Nguyễn Ly","ác =))","https://www.facebook.com/KaitoKid1412.Official/posts/pfbid02UMynNFPFMXYxqGzdHkf1hBDcKSYJJBWJD6PeNyho5ofmkF5pDKrqFStgmuRVcoval?comment_id=3393178190983639","0","0","0","06/17/2024 07:50:39 PM"
"Y29tbWVudDo3NjcwNzIzMTIyOTI3NDhfOTkzMjA5MDEyMTg5OTY5","100091448191929","https://scontent.fsgn19-1.fna.fbcdn.net/v/t39.30808-1/448469087_387732250951712_6571911608105414563_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeG32ZqoZxr-yqLDmeCR7cG2-lOwpGzg1y36U7CkbODXLS48G4sxYB_YrWd27Ln_DsIBAHiSSDuTDtaT5kL6wB_B&_nc_ohc=OuP2LlBbpEUQ7kNvgEZmA9J&_nc_ht=scontent.fsgn19-1.fna&oh=00_AYAk7EFrlv85_if1XI1hQx-ZTHkxlOH57j6LoOCLxwYkCQ&oe=66760834","Hà Văn Vương","😢","https://www.facebook.com/KaitoKid1412.Official/posts/pfbid02UMynNFPFMXYxqGzdHkf1hBDcKSYJJBWJD6PeNyho5ofmkF5pDKrqFStgmuRVcoval?comment_id=993209012189969","0","0","0","06/17/2024 07:51:11 PM"
"Y29tbWVudDo3NjcwNzIzMTIyOTI3NDhfODYwMTk2MDc5Mjk0NDU5","100084519425441","https://scontent.fsgn19-1.fna.fbcdn.net/v/t39.30808-1/448205572_434398676054110_8125968943490221772_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHNBAmJU3m5SGnyg4WNZz2aLhyPdqqttnwuHI92qq22fIYpYZpiSmzck44HGyZJZpKlIAbDQIyYAlJE-wbTyGgU&_nc_ohc=m1w3pxYHXtYQ7kNvgH8093r&_nc_ht=scontent.fsgn19-1.fna&oh=00_AYCxKMNvnnimEaJeQnaurt7B-VIaHuMfcrBfSfrqMm8D-w&oe=6675E968","Ng Nhật Ly","juan k","https://www.facebook.com/KaitoKid1412.Official/posts/pfbid02UMynNFPFMXYxqGzdHkf1hBDcKSYJJBWJD6PeNyho5ofmkF5pDKrqFStgmuRVcoval?comment_id=860196079294459","0","0","0","06/17/2024 07:51:04 PM"
"Y29tbWVudDo3NjcwNzIzMTIyOTI3NDhfOTYwNzA5Nzg1ODA4MTcy","100077212285788","https://scontent.fsgn19-1.fna.fbcdn.net/v/t39.30808-1/441419302_462186449698427_5396156389915424955_n.jpg?stp=c8.0.32.32a_cp0_dst-jpg_p32x32&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFmUuCpdDELCBDTuu_FFE3BuLx7CYEXj824vHsJgRePzaALC-JwgmRCsqnbongrxXMCj3Wzl0APhq1Q9cQqQRWS&_nc_ohc=no5sgNp4_1UQ7kNvgF2ogFZ&_nc_ht=scontent.fsgn19-1.fna&oh=00_AYB2qsM_B5FU1_P-yneUMehBPcnAJp99CECNJNvXigs5tA&oe=66760EDD","Trần Mai Anh","là sao z ck ","https://www.facebook.com/KaitoKid1412.Official/posts/pfbid02UMynNFPFMXYxqGzdHkf1hBDcKSYJJBWJD6PeNyho5ofmkF5pDKrqFStgmuRVcoval?comment_id=960709785808172","0","0","0","06/17/2024 07:50:17 PM"
"Y29tbWVudDo3NjcwNzIzMTIyOTI3NDhfODQzMjMxNjg3Njc3MDM2","100092246468704","https://scontent.fsgn19-1.fna.fbcdn.net/v/t39.30808-1/448510599_387016374383242_6115141688029798063_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGnYQTncM7mU5aejEyIMcFgIp6LL6LoTEEinosvouhMQYLtIn7D3S_2mH2oE6N5q4M3lsjEZQQFY_h3Ij8IuANy&_nc_ohc=DKd5kFbz5IMQ7kNvgFCQ0Kr&_nc_ht=scontent.fsgn19-1.fna&oh=00_AYCmLFKL2r5isgR53SMH4Ilk8YStipzik1ZMg4N_LuZRow&oe=66761CA6","Nguyễn Phương Thu Thảo","Em không tinnnnn","https://www.facebook.com/KaitoKid1412.Official/posts/pfbid02UMynNFPFMXYxqGzdHkf1hBDcKSYJJBWJD6PeNyho5ofmkF5pDKrqFStgmuRVcoval?comment_id=843231687677036","0","0","0","06/17/2024 07:47:06 PM"
"Y29tbWVudDo3NjcwNzIzMTIyOTI3NDhfNzYzMTk5NjgyNjkzMDcx","100032604924160","https://scontent.fsgn19-1.fna.fbcdn.net/v/t39.30808-1/432787315_1058575901905897_6819058480839277000_n.jpg?stp=cp6_dst-jpg_p32x32&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHZ31AFtCRINvgVin2mAsvC7t9tZsF3kTbu321mwXeRNnxDn3qTFYwesxKfOS9ToGr-f-R-IJoF9dZzFqPof2I6&_nc_ohc=9AJGu2_vli8Q7kNvgHvWh0q&_nc_ht=scontent.fsgn19-1.fna&oh=00_AYColcgK8gD6UcF--XXlCj-rmmpYkc0QCSDgfQJimSDNwg&oe=6675EF5F","Quỳnh Nhi","Vin Luôn Vui Vẻ chắc chắn là đánh lạc hướng","https://www.facebook.com/KaitoKid1412.Official/posts/pfbid02UMynNFPFMXYxqGzdHkf1hBDcKSYJJBWJD6PeNyho5ofmkF5pDKrqFStgmuRVcoval?comment_id=763199682693071","0","0","0","06/17/2024 07:49:18 PM"
